book_title,book_author,book_length
Golden Touch,By: Sarina Bowen,Length: 7 hrs and 47 mins
Under Your Scars,By: Ariel N. Anderson,Length: 19 hrs and 2 mins
Unprepared Healer,By: Jonathan Brooks,Length: 14 hrs and 47 mins
Kill Promise,By: Scott Blade,Length: 10 hrs and 55 mins
The Halls of Magic: Volume 1,"By: Annabelle Hawthorne, M.E. Thorne",Length: 12 hrs and 2 mins
Thirst Trap,By: Lani Lynn Vale,Length: 5 hrs and 56 mins
Unleashed,By: Douglas E. Richards,Length: 12 hrs and 36 mins
Task Force Hammer,By: Craig Alanson,Length: 21 hrs and 40 mins
Bloodlands,By: Mark Dawson,Length: 10 hrs and 22 mins
Drumindor,By: Michael J. Sullivan,Length: 12 hrs and 45 mins
The Empress of Beasts,By: pirateaba,Length: 30 hrs and 29 mins
The Shadow Rising,By: Robert Jordan,Length: 40 hrs and 31 mins
The Longest Con,By: Joe Conason,Length: 10 hrs and 55 mins
Play Along,By: Liz Tomforde,Length: 12 hrs and 32 mins
State of Paradise,By: Laura van den Berg,Length: 5 hrs and 33 mins
Mayhem,By: Aaron Oster,Length: 18 hrs and 16 mins
LastRock,By: Phil Tucker,Length: 26 hrs and 2 mins
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
Ragnarok Awaits,By: Tim Steiner,Length: 12 hrs and 1 min
The Body in the Backyard,By: Lucy Score,Length: 11 hrs and 56 mins
